flight_id,source,destination,date,time,ticket_price (USD),passenger_capacity
AA12345,JFK (New York),LAX (Los Angeles),2024-03-20,10:00 AM,250,152
BA56789,LHR (London),HKG (Hong Kong),2024-04-05,22:15 PM,800,300
EK09876,DXB (Dubai),SIN (Singapore),2024-05-12,14:30 PM,520,250
QF34567,SYD (Sydney),LAX (Los Angeles),2024-02-29,18:45 PM,1200,402
AC12312,YYZ (Toronto),LHR (London),2024-06-18,8:15 AM,480,218
LH45645,FRA (Frankfurt),ORD (Chicago),2024-01-15,13:00 PM,650,348
MH78901,KUL (Kuala Lumpur),CDG (Paris),2024-07-02,1:45 AM,950,416
JL23456,NRT (Tokyo),JFK (New York),2024-08-09,17:30 PM,1100,380
CA90123,CAN (Guangzhou),LHR (London),2024-09-16,5:00 AM,720,280
AF34512,CDG (Paris),SIN (Singapore),2024-10-23,20:00 PM,1050,451
KL98765,AMS (Amsterdam),BKK (Bangkok),2025-02-11,12:15 PM,410,200
SQ12345,SIN (Singapore),EWR (Newark),2025-03-18,9:00 AM,920,320
NZ23456,AKL (Auckland),LAX (Los Angeles),2025-04-25,15:45 PM,1350,390
CX78901,HKG (Hong Kong),ICN (Incheon),2025-05-02,7:15 AM,600,210
PR12345,SJU (San Juan),MIA (Miami),2024-03-30,11:00 AM,350,150
TG45678,BKK (Bangkok),NRT (Tokyo),2024-04-27,19:30 PM,780,290
AA12346,JFK (New York),LAX (Los Angeles),2024-03-20,10:00 AM,255,180
BA56783,LHR (London),HKG (Hong Kong),2024-04-05,22:15 PM,805,300
EK09872,DXB (Dubai),SIN (Singapore),2024-05-12,14:30 PM,400,250
QF34560,SYD (Sydney),LAX (Los Angeles),2024-02-29,18:45 PM,1240,400
AC123122,YYZ (Toronto),LHR (London),2024-06-18,8:15 AM,500,220
LH45622,FRA (Frankfurt),ORD (Chicago),2024-01-15,13:00 PM,650,350
MH78912,KUL (Kuala Lumpur),CDG (Paris),2024-07-02,1:45 AM,900,420
JL23412,NRT (Tokyo),JFK (New York),2024-08-09,17:30 PM,1200,380
CA90112,CAN (Guangzhou),LHR (London),2024-09-16,5:00 AM,710,280
AF34514,CDG (Paris),SIN (Singapore),2024-10-23,20:00 PM,1051,450
KL98788,AMS (Amsterdam),BKK (Bangkok),2025-02-11,12:15 PM,415,192
